Universal ACDC v.1.38
importing alife objects...
importing alife objects from file alife_zaton.ltx...
importing alife objects from file alife_jupiter.ltx...
importing alife objects from file alife_puzir.ltx...
team 0, squad 1, group 3, puzir_sniper1
team 0, squad 5, group 4, bar_dolg_bunker_2
team 0, squad 5, group 4, bar_dolg_bunker_5
team 0, squad 5, group 8, bar_zastava_guard_1
team 0, squad 5, group 8, bar_zastava_guard_2
team 0, squad 5, group 8, bar_zastava_guard_3
team 0, squad 5, group 8, bar_zastava_commander_1
team 0, squad 5, group 9, bar_zastava_2_square_1_guard_4
team 0, squad 5, group 9, bar_zastava_2_square_1_guard_2
team 0, squad 5, group 9, bar_zastava_2_square_1_guard_6
team 0, squad 5, group 4, bar_dolg_petrenko
team 0, squad 5, group 4, bar_dolg_ivancov
team 0, squad 5, group 4, bar_dolg_leader
team 0, squad 5, group 4, bar_dolg_bunker_0001
team 0, squad 5, group 4, bar_dolg_bunker_0002
team 0, squad 5, group 0, bar_angar_zoneguard
team 0, squad 5, group 4, bar_dolg_regular_4
team 0, squad 5, group 4, bar_dolg_regular_5
team 0, squad 5, group 4, bar_dolg_regular_1
team 0, squad 5, group 1, bar_m_dog_e_0019
team 0, squad 5, group 1, bar_m_dog_e_0020
team 0, squad 5, group 1, bar_m_dog_e_0021
team 0, squad 0, group 0, bar_stalker_0001
team 0, squad 0, group 0, sim_stalker_gusarov
team 0, squad 0, group 0, bar_stalker_0004
team 0, squad 0, group 0, bar_arena_man
team 5, squad 8, group 3, bar_stalker_0005
team 5, squad 8, group 3, bar_stalker_0006
team 5, squad 8, group 3, bar_stalker_0007
team 5, squad 8, group 3, bar_stalker_0008
team 5, squad 8, group 3, bar_stalker_0009
team 5, squad 8, group 3, bar_stalker_0010
team 5, squad 8, group 3, bar_stalker_0011
team 5, squad 8, group 7, bar_stalker_0012
team 5, squad 8, group 7, bar_stalker_0013
team 5, squad 8, group 3, bar_stalker_0014
team 5, squad 8, group 3, bar_stalker_0015
team 5, squad 8, group 3, bar_stalker_0016
team 5, squad 8, group 3, bar_stalker_0017
team 5, squad 8, group 3, bar_stalker_0018
team 5, squad 8, group 3, bar_stalker_0019
team 5, squad 8, group 3, bar_stalker_0020
team 5, squad 8, group 3, bar_stalker_0021
team 5, squad 8, group 3, bar_stalker_0022
team 5, squad 8, group 3, bar_stalker_0023
team 5, squad 8, group 3, bar_stalker_0024
team 5, squad 8, group 3, bar_stalker_0025
team 5, squad 8, group 3, bar_stalker_0026
team 0, squad 0, group 0, sim_stalker_umnik
team 0, squad 0, group 0, sim_stalker_prapor
team 0, squad 5, group 1, bar_m_pseudodog_e_0001
team 0, squad 0, group 0, bar_stalker
team 0, squad 0, group 0, bar_stalker_0000
team 0, squad 1, group 5, dolgovazyi
team 0, squad 1, group 5, bar_docent
importing alife objects from file alife_generators.ltx...
team 0, squad 5, group 4, zemlyk
team 0, squad 6, group 1, generators_neutral_stalk1
team 0, squad 0, group 0, generators_neutral_stalk2
team 0, squad 0, group 0, generators_neutral_stalk3
team 0, squad 6, group 1, generators_neutral_stalk4
team 0, squad 0, group 0, generators_neutral_stalk5
team 0, squad 0, group 0, generators_neutral_stalk6
team 0, squad 0, group 0, frits
team 0, squad 0, group 0, andersen
team 0, squad 1, group 3, generators_monolit1_vushka1
team 0, squad 1, group 3, generators_monolit2_vushka2
team 0, squad 1, group 3, generators_monolit3_krusha
team 0, squad 1, group 3, generators_monolit4_krusha
team 0, squad 1, group 3, generators_monolit5_meshki1
team 0, squad 1, group 3, generators_monolit6_meshki2
team 0, squad 1, group 3, generators_monolit7_kamper1
team 0, squad 1, group 3, generators_monolit8_kamper2
team 0, squad 1, group 3, generators_monolit9_chas_bunker
team 0, squad 1, group 3, generators_monolit10_chas_budka
team 0, squad 1, group 3, generators_monolit11_chas_vorota
team 0, squad 1, group 3, generators_monolit12_perimetr1
team 0, squad 1, group 3, generators_monolit13_perimetr2
team 0, squad 1, group 3, generators_monolit14_perimetr3
team 0, squad 1, group 3, generators_monolit15_transform
team 0, squad 1, group 3, generators_monolit16_oxran_ekolog
team 0, squad 0, group 0, solvador
team 0, squad 0, group 0, gener_dok_stalk1
team 0, squad 0, group 0, gener_dok_stalk2
team 0, squad 0, group 0, gener_dok_stalk3
team 0, squad 0, group 17, generators_black_dok
team 0, squad 5, group 4, generators_prizrak
team 0, squad 0, group 0, metka2_dog_psevdopda
team 0, squad 0, group 0, metka3_boar_psevdopda
team 0, squad 0, group 0, metka4_flesh_psevdopda
team 0, squad 5, group 7, generators_pantera_dead
team 0, squad 0, group 0, generators_zvezdochet
team 0, squad 0, group 0, generators_udav
team 0, squad 1, group 3, generators_monolit17_prohod1
team 0, squad 1, group 3, generators_monolit18_prohod2
team 0, squad 1, group 3, generators_monolit19_bunker1
team 0, squad 1, group 3, generators_monolit20_bunker2
team 0, squad 0, group 0, gener_desant_black1
team 0, squad 0, group 0, gener_desant_black2
team 0, squad 0, group 0, gener_desant_black3
team 0, squad 0, group 0, gener_desant_black_komandir
team 0, squad 0, group 0, gener_frits2
team 0, squad 0, group 17, gener_bl_doktor1
team 0, squad 0, group 0, black_generators_stalk1
team 0, squad 0, group 0, black_generators_stalk2
team 0, squad 0, group 0, black_generators_stalk3
team 0, squad 0, group 0, black_generators_stalk4
team 0, squad 0, group 0, black_generators_stalk5
team 0, squad 0, group 0, black_generators_stalk6
team 0, squad 0, group 0, black_generators_stalk7
team 0, squad 0, group 0, black_generators_stalk8
team 0, squad 0, group 0, black_generators_stalk9
team 0, squad 0, group 0, black_generators_stalk10
team 0, squad 0, group 0, generators_burer1
team 0, squad 0, group 0, trupak_v_anomalii
team 0, squad 0, group 0, generators_flesh_strong1
team 0, squad 0, group 0, generators_flesh_strong2
team 0, squad 0, group 0, generators_flesh_strong3
team 0, squad 0, group 0, generators_flesh_strong4
team 0, squad 0, group 0, generators_gigant_strong1
team 0, squad 0, group 0, generators_tushkano1
team 0, squad 0, group 0, generators_tushkano2
team 0, squad 0, group 0, generators_tushkano3
team 0, squad 0, group 0, generators_tushkano4
team 0, squad 0, group 0, generators_tushkano5
team 0, squad 0, group 0, generators_burer2
team 0, squad 0, group 0, generators_bloodsucker_strong1
team 0, squad 0, group 0, gener_boar_strong1
team 0, squad 0, group 0, gener_boar_strong2
team 0, squad 0, group 0, gener_boar_strong3
team 0, squad 0, group 0, gener_snork_strong1
team 0, squad 0, group 0, gener_snork_strong2
team 0, squad 0, group 0, gener_snork_strong3
team 0, squad 0, group 0, gener_snork_strong4
team 0, squad 1, group 3, monolit_shlagbaum1
team 0, squad 1, group 3, monolit_shlagbaum2
team 0, squad 1, group 3, monolit_shlagbaum3
team 0, squad 5, group 4, gener_shlagbaum_freedom1
team 0, squad 5, group 4, gener_shlagbaum_freedom2
team 0, squad 5, group 4, gener_shlagbaum_freedom3
team 0, squad 5, group 4, gener_shlagbaum_freedom4
team 0, squad 0, group 0, gen_solvador1
team 0, squad 0, group 17, gen_andersen1
team 0, squad 0, group 0, gen_bloodsucker_na_krushe
team 0, squad 0, group 0, gen_svoboda_parlamenter
team 0, squad 0, group 0, gen_sapsan1
team 0, squad 5, group 7, gen_pantera_life
team 0, squad 0, group 0, gen_boar_gulag2_1
team 0, squad 0, group 0, gen_boar_gulag2_2
team 0, squad 0, group 0, gen_boar_gulag2_3
team 0, squad 0, group 0, gen_boar_gulag2_4
team 0, squad 0, group 0, gen_boar_gulag2_5
team 0, squad 0, group 0, gen_fritz3
team 0, squad 0, group 0, gener_electro_chim1_podstanziy
team 0, squad 0, group 0, gener_electro_chim2_podstanziy
team 0, squad 0, group 0, generators_chimera_strong1
team 0, squad 0, group 0, generators_chimera_strong2
team 0, squad 0, group 0, odnonogiy_stalk
team 0, squad 5, group 4, gen_prizrak_izomorf
importing alife objects from file alife_l12_stancia_2.ltx...
team 0, squad 1, group 3, chees2_trup_vzruv_beter1
team 0, squad 1, group 3, chees2_trup_vzruv_beter2
team 0, squad 1, group 3, chees2_trup_vzruv_beter3
team 0, squad 1, group 3, chees2_trup_vzruv_beter4
team 0, squad 1, group 3, chees2_gorit_vzruv_beter5
team 0, squad 1, group 3, chees2_gorit_vzruv_beter6
team 0, squad 0, group 0, kluk_chaes2
team 0, squad 1, group 3, chees2_mono1_za_zdaniem1
team 0, squad 1, group 3, chees2_mono2_za_zdaniem2
team 0, squad 1, group 3, chees2_mono3_pod_truboy1
team 0, squad 1, group 3, chees2_mono3_krusha1
team 0, squad 1, group 3, chees2_mono4_krusha2
team 0, squad 1, group 3, chees2_mono5_krusha_verh
team 0, squad 1, group 3, chees2_mono6_za_uglom
team 0, squad 0, group 0, chaes2_arhara_beter2_kluk
team 0, squad 1, group 3, chaes2_mono_fugas
team 0, squad 5, group 4, trupak_vert_krusha
team 0, squad 5, group 4, trupak_na_2verte
team 0, squad 5, group 4, trupak_2vert_s_zapiskoy
team 0, squad 5, group 4, trupak_truba
team 0, squad 1, group 3, monolit_kran_zad
team 0, squad 1, group 3, monolit_kran_kabina
team 0, squad 1, group 3, monolit_truba
team 3, squad 3, group 3, aes2_stalker_0002
team 1, squad 1, group 1, aes2_monolit_stalker_0003
team 1, squad 1, group 1, aes2_monolit_stalker_0000
team 1, squad 1, group 1, aes2_monolit_stalker_0001
team 3, squad 3, group 3, aes2_stalker_0003
team 3, squad 3, group 3, aes2_stalker_0004
team 3, squad 3, group 3, aes2_stalker_0005
team 1, squad 1, group 1, aes2_monolit_stalker_0002
team 1, squad 1, group 1, aes2_monolit_stalker_0004
team 1, squad 1, group 1, aes2_monolit_stalker_0005
team 1, squad 1, group 1, aes2_monolit_stalker_0006
team 1, squad 1, group 1, aes2_monolit_stalker_0007
team 1, squad 1, group 1, aes2_monolit_stalker_0008
team 1, squad 1, group 1, aes2_monolit_stalker_0009
team 1, squad 1, group 1, aes2_monolit_stalker_0010
team 1, squad 1, group 1, aes2_monolit_stalker_0011
team 1, squad 1, group 1, aes2_monolit_stalker_0012
team 1, squad 1, group 1, aes2_monolit_stalker_0013
team 3, squad 3, group 3, aes2_stalker_0008
team 1, squad 1, group 1, aes2_monolit_stalker_0015
team 1, squad 1, group 1, aes2_monolit_stalker_0016
team 0, squad 0, group 0, aes2_snork_outdoor
team 0, squad 0, group 0, aes2_snork_outdoor_0000
team 0, squad 0, group 0, aes2_snork_outdoor_0001
team 1, squad 1, group 1, aes2_monolit_stalker_0018
team 1, squad 1, group 1, aes2_monolit_stalker_0017
team 3, squad 3, group 3, aes2_stalker_0010
team 3, squad 3, group 3, aes2_stalker_0011
team 1, squad 1, group 1, aes2_monolit_stalker_0019
team 1, squad 1, group 1, aes2_monolit_stalker_0020
team 1, squad 1, group 1, aes2_monolit_stalker_0022
team 1, squad 1, group 1, aes2_monolit_stalker_0023
team 1, squad 1, group 1, aes2_monolit_stalker_0024
team 1, squad 1, group 1, aes2_monolit_stalker_0025
team 2, squad 2, group 2, aes2_monolit_stalker_0027
team 2, squad 2, group 2, aes2_monolit_stalker_0028
team 2, squad 2, group 2, aes2_monolit_stalker_0030
team 2, squad 2, group 2, aes2_monolit_stalker_0026
team 2, squad 2, group 2, aes2_monolit_stalker_0032
team 2, squad 2, group 2, aes2_monolit_stalker_0034
team 2, squad 2, group 2, aes2_monolit_stalker_0035
team 2, squad 2, group 2, aes2_monolit_stalker_0036
team 2, squad 2, group 2, aes2_monolit_stalker_0038
team 2, squad 2, group 2, aes2_monolit_stalker_0039
team 2, squad 2, group 2, aes2_monolit_stalker_0042
team 2, squad 2, group 2, aes2_monolit_stalker_0043
team 2, squad 2, group 2, aes2_monolit_stalker_0046
team 2, squad 2, group 2, aes2_monolit_stalker_0047
team 2, squad 2, group 2, aes2_monolit_stalker_0048
team 2, squad 2, group 2, aes2_monolit_stalker_0050
team 2, squad 2, group 2, aes2_monolit_stalker_0051
team 2, squad 2, group 2, aes2_monolit_stalker_0052
team 2, squad 2, group 2, aes2_monolit_stalker_0053
team 0, squad 0, group 0, aes2_stalker_0030
team 0, squad 0, group 0, aes2_stalker_0032
team 2, squad 2, group 2, aes2_monolit_stalker_0054
team 2, squad 2, group 2, aes2_monolit_stalker_0055
team 2, squad 2, group 2, aes2_monolit_stalker_0056
team 2, squad 2, group 2, aes2_monolit_stalker_0062
team 2, squad 2, group 2, aes2_monolit_stalker_0063
team 2, squad 2, group 2, aes2_monolit_stalker_0064
team 2, squad 2, group 2, aes2_monolit_stalker_0065
team 2, squad 2, group 2, aes2_monolit_stalker_0066
team 2, squad 2, group 2, aes2_monolit_stalker_0067
team 2, squad 2, group 2, aes2_monolit_stalker_0068
team 2, squad 2, group 2, aes2_monolit_stalker_0069
team 0, squad 0, group 0, aes2_stalker_0035
team 0, squad 0, group 0, aes2_stalker_0036
team 2, squad 2, group 2, aes2_monolit_stalker_0070
team 2, squad 2, group 2, aes2_monolit_stalker_0071
team 2, squad 2, group 2, aes2_monolit_stalker_0073
team 2, squad 2, group 2, aes2_monolit_stalker_0074
team 2, squad 2, group 2, aes2_monolit_stalker_0075
team 2, squad 2, group 2, aes2_monolit_stalker_0078
team 3, squad 3, group 3, aes2_stalker_0037
team 3, squad 3, group 3, aes2_stalker_0038
team 0, squad 0, group 0, aes2_snork_strong
team 0, squad 0, group 0, aes2_snork_strong_0000
team 0, squad 0, group 0, aes2_snork_strong_0004
team 0, squad 0, group 0, aes2_snork_strong_0009
team 0, squad 0, group 0, aes2_snork_strong_0010
team 0, squad 0, group 0, aes2_snork_strong_0011
team 0, squad 0, group 0, aes2_snork_strong_0013
team 0, squad 0, group 0, aes2_snork_strong_0014
team 0, squad 0, group 0, aes2_snork_strong_0018
team 0, squad 0, group 0, aes2_snork_strong_0019
team 0, squad 0, group 0, aes2_snork_strong_0020
team 0, squad 0, group 0, aes2_snork_strong_0032
team 0, squad 0, group 0, aes2_snork_strong_0033
team 3, squad 3, group 3, aes2_stalker_0039
team 3, squad 3, group 3, aes2_stalker_0040
team 3, squad 3, group 3, aes2_stalker_0041
team 1, squad 1, group 1, aes2_monolit_stalker_0049
team 2, squad 2, group 2, aes2_monolit_stalker_0029
team 2, squad 2, group 2, aes2_monolit_stalker_0044
team 2, squad 2, group 2, aes2_monolit_stalker_0045
team 0, squad 0, group 0, aes2_stalker
team 2, squad 2, group 2, aes2_monolit_stalker_0014
team 2, squad 2, group 2, aes2_monolit_stalker_0021
team 2, squad 2, group 2, aes2_monolit_stalker_0031
team 2, squad 2, group 2, aes2_monolit_stalker_0033
team 2, squad 2, group 2, aes2_monolit_stalker_0037
team 2, squad 2, group 2, aes2_monolit_stalker_0040
importing alife objects from file alife_l02_garbage.ltx...
team 0, squad 1, group 3, gar_sniper1
team 0, squad 1, group 3, gar_sniper2
team 0, squad 1, group 3, gar_sniper3
team 0, squad 1, group 3, gar_sniper4
team 0, squad 1, group 3, gar_sniper5
team 0, squad 1, group 3, gar_sniper6
team 0, squad 1, group 5, svalka_plot_stalk
team 0, squad 0, group 0, garbage_naemnik1_grup1
team 0, squad 0, group 0, garbage_naemnik2_grup1
team 0, squad 5, group 7, garbage_naemnik3_grup1
team 0, squad 5, group 7, garbage_naemnik4_grup1
team 0, squad 5, group 7, garbage_naemnik5_grup1
team 0, squad 5, group 4, tamaz_garbage
team 0, squad 5, group 4, tamaz_body
team 0, squad 5, group 4, tamaz_ohr1
team 0, squad 5, group 4, tamaz_ohr2
team 0, squad 5, group 4, tamaz_ohr3
team 0, squad 5, group 4, tamaz_ohr4
team 0, squad 5, group 4, tamaz_ohr5
team 0, squad 5, group 4, tamaz_ohr6
team 0, squad 5, group 4, tamaz_ohr7
team 0, squad 5, group 4, tamaz_ohr8
team 0, squad 2, group 5, gar_bandit_stroyka1
team 0, squad 2, group 6, gar_dm_novice
team 0, squad 2, group 20, gar_dm_bandit_1
team 0, squad 2, group 20, gar_dm_bandit_2
team 0, squad 2, group 20, gar_dm_bandit_3
team 0, squad 2, group 1, gar_bandit_agr_1
team 0, squad 2, group 1, gar_bandit_agr_2
team 0, squad 2, group 1, gar_bandit_agr_3
team 0, squad 2, group 1, gar_bandit_agr_4
team 0, squad 2, group 1, gar_bandit_agr_5
team 0, squad 2, group 1, gar_bandit_agr_6
team 0, squad 2, group 1, gar_bandit_agr_7
team 0, squad 2, group 1, gar_bandit_agr_8
team 0, squad 2, group 1, gar_bandit_agr_9
team 0, squad 2, group 1, gar_bandit_agr_10
team 0, squad 2, group 1, gar_bandit_agr_11
team 0, squad 2, group 7, gar_dolg_blokpost_1
team 0, squad 2, group 7, gar_dolg_blokpost_2
team 0, squad 2, group 7, gar_dolg_blokpost_3
team 0, squad 2, group 7, gar_dolg_blokpost_4
team 0, squad 2, group 7, gar_dolg_blokpost_5
team 0, squad 2, group 7, gar_dolg_blokpost_6
team 0, squad 2, group 7, gar_dolg_blokpost_7
team 0, squad 2, group 7, gar_dolg_blokpost_8
team 0, squad 2, group 4, gar_bandit_seryi_1
team 0, squad 2, group 4, gar_bandit_seryi_2
team 0, squad 2, group 4, gar_bandit_seryi_3
team 0, squad 2, group 4, gar_bandit_seryi_4
team 0, squad 2, group 4, gar_bandit_seryi_5
team 0, squad 2, group 4, gar_bandit_seryi_6
team 0, squad 0, group 0, gar_stalker_0000
team 0, squad 0, group 0, gar_stalker_0001
team 0, squad 0, group 0, gar_stalker_0002
team 0, squad 2, group 8, gar_seryi_drug2
team 0, squad 2, group 8, gar_seryi
team 0, squad 2, group 5, gar_bandit_stroyka2
team 0, squad 2, group 5, gar_bandit_stroyka3
team 0, squad 2, group 5, gar_bandit_stroyka4
team 0, squad 2, group 5, gar_bandit_stroyka5
team 0, squad 2, group 1, gar_bandit_agr_12
team 0, squad 2, group 1, gar_bandit_agr_13
team 0, squad 2, group 0, gar_wounded_bandit
team 0, squad 2, group 15, gar_sniper_bandit
team 0, squad 0, group 0, gar_stalker
team 0, squad 2, group 8, gar_seryi_drug3
team 0, squad 2, group 0, gar_hellcar
team 0, squad 2, group 0, gar_hellcar_group_1
team 0, squad 2, group 0, gar_hellcar_group_2
team 0, squad 2, group 3, gar_bandit_post_1
team 0, squad 2, group 3, gar_bandit_post_3
team 0, squad 2, group 3, gar_bandit_post_4
team 0, squad 2, group 3, gar_bandit_post_2
team 0, squad 2, group 3, gar_bandit_post_5
team 0, squad 2, group 3, gar_bandit_post_6
team 0, squad 2, group 3, gar_bandit_post_7
team 0, squad 2, group 0, gar_stalker_0003
team 0, squad 0, group 0, gar_stalker_0004
team 0, squad 0, group 0, gar_m_crow
team 0, squad 0, group 0, gar_m_crow_0000
team 0, squad 0, group 0, gar_m_crow_0001
team 0, squad 0, group 0, gar_m_crow_0002
team 0, squad 0, group 0, gar_m_crow_0003
team 0, squad 0, group 0, gar_m_crow_0004
team 0, squad 0, group 0, gar_m_crow_0005
team 0, squad 0, group 0, gar_m_crow_0006
team 0, squad 0, group 0, gar_m_crow_0007
team 0, squad 0, group 0, gar_m_crow_0008
team 0, squad 0, group 0, gar_m_crow_0009
team 0, squad 0, group 0, gar_m_crow_0010
team 0, squad 0, group 0, gar_m_crow_0011
team 0, squad 0, group 0, gar_m_crow_0012
team 0, squad 0, group 0, gar_m_crow_0013
team 0, squad 0, group 0, gar_m_crow_0014
team 0, squad 0, group 0, gar_m_crow_0015
team 0, squad 0, group 0, gar_m_crow_0016
team 0, squad 0, group 0, gar_m_crow_0017
team 0, squad 0, group 0, gar_m_crow_0018
team 0, squad 0, group 0, gar_m_crow_0019
team 0, squad 0, group 0, gar_m_crow_0020
team 0, squad 0, group 0, gar_m_crow_0021
team 0, squad 0, group 0, gar_m_crow_0022
team 0, squad 0, group 0, gar_m_crow_0023
team 0, squad 0, group 0, gar_m_crow_0024
team 0, squad 0, group 0, gar_m_crow_0025
team 0, squad 0, group 0, gar_boar_rush_0002
team 0, squad 0, group 0, gar_boar_rush_0006
team 0, squad 0, group 0, gar_boar_rush_0007
team 0, squad 0, group 0, gar_boar_rush_0008
team 0, squad 0, group 0, gar_boar_rush_0009
team 0, squad 0, group 0, gar_boar_rush_0010
team 0, squad 0, group 0, gar_stalker_0005
